zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
95329,37.67726,-120.41363,La Grange,CA,California,TRUE,,2339,7.7,6109,Tuolumne,"{""06109"": 48.33, ""06099"": 36.0, ""06043"": 15.66}",Tuolumne|Stanislaus|Mariposa,06109|06099|06043,FALSE,FALSE,America/Los_Angeles
95330,37.8117,-121.31331,Lathrop,CA,California,TRUE,,33015,592.2,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95333,37.2447,-120.24277,Le Grand,CA,California,TRUE,,3203,10.1,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95334,37.34756,-120.74624,Livingston,CA,California,TRUE,,17198,117.6,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95335,38.11894,-120.09239,Long Barn,CA,California,TRUE,,82,0.8,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95336,37.83351,-121.1988,Manteca,CA,California,TRUE,,49357,497.1,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95337,37.74171,-121.23834,Manteca,CA,California,TRUE,,46157,392.3,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95338,37.50911,-119.98659,Mariposa,CA,California,TRUE,,10164,11.5,6043,Mariposa,"{""06043"": 100}",Mariposa,6043,FALSE,FALSE,America/Los_Angeles
95340,37.34128,-120.40658,Merced,CA,California,TRUE,,38045,282.7,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95341,37.23037,-120.50715,Merced,CA,California,TRUE,,34956,91.9,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95345,37.58784,-119.96408,Midpines,CA,California,TRUE,,318,3.2,6043,Mariposa,"{""06043"": 100}",Mariposa,6043,FALSE,FALSE,America/Los_Angeles
95346,38.07045,-120.17291,Mi Wuk Village,CA,California,TRUE,,807,61,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95348,37.41525,-120.4979,Merced,CA,California,TRUE,,36663,239.9,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95350,37.67175,-121.00732,Modesto,CA,California,TRUE,,55984,2446.4,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95351,37.6236,-120.99828,Modesto,CA,California,TRUE,,47232,2050.8,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95354,37.63849,-120.96428,Modesto,CA,California,TRUE,,26587,1341.1,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95355,37.6727,-120.94717,Modesto,CA,California,TRUE,,60470,2498.1,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95356,37.71945,-121.02786,Modesto,CA,California,TRUE,,33025,574.1,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95357,37.66985,-120.87924,Modesto,CA,California,TRUE,,14283,140.1,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95358,37.61578,-121.10059,Modesto,CA,California,TRUE,,30994,102.9,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95360,37.32918,-121.03827,Newman,CA,California,TRUE,,13690,85.5,6099,Stanislaus,"{""06099"": 74.95, ""06047"": 25.05}",Stanislaus|Merced,06099|06047,FALSE,FALSE,America/Los_Angeles
95361,37.79342,-120.77654,Oakdale,CA,California,TRUE,,35024,62.2,6099,Stanislaus,"{""06099"": 97.73, ""06077"": 2.27}",Stanislaus|San Joaquin,06099|06077,FALSE,FALSE,America/Los_Angeles
95363,37.37251,-121.27192,Patterson,CA,California,TRUE,,30407,24.5,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95364,38.22908,-119.79174,Pinecrest,CA,California,TRUE,,0,0,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95365,37.3012,-120.33152,Planada,CA,California,TRUE,,4009,422.3,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95366,37.76223,-121.12574,Ripon,CA,California,TRUE,,18440,207.5,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95367,37.73089,-120.94669,Riverbank,CA,California,TRUE,,25303,1860.1,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95368,37.71544,-121.09047,Salida,CA,California,TRUE,,14457,1823.8,6099,Stanislaus,"{""06099"": 100}",Stanislaus,6099,FALSE,FALSE,America/Los_Angeles
95369,37.52435,-120.41301,Snelling,CA,California,TRUE,,802,2,6047,Merced,"{""06047"": 85.76, ""06043"": 14.24}",Merced|Mariposa,06047|06043,FALSE,FALSE,America/Los_Angeles
95370,37.98484,-120.34515,Sonora,CA,California,TRUE,,28373,106.3,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95372,37.98927,-120.26272,Soulsbyville,CA,California,TRUE,,1825,291.2,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95374,37.31636,-120.85683,Stevinson,CA,California,TRUE,,1652,14.3,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95375,38.21493,-119.97031,Strawberry,CA,California,TRUE,,65,1.8,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95376,37.73678,-121.43404,Tracy,CA,California,TRUE,,54853,2780.6,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95377,37.65293,-121.49598,Tracy,CA,California,TRUE,,36182,127,6077,San Joaquin,"{""06077"": 89.32, ""06001"": 10.68}",San Joaquin|Alameda,06077|06001,FALSE,FALSE,America/Los_Angeles
